hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,bookingID
"Heidelberg Marriott Hotel Heidelberg, Germany",0,18,2019,July,30,27,0,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,169.0,0,1,Check-Out,2019-07-30,11
"W New York – Times Square New York, NY",0,3,2019,February,8,24,0,1,1,0.0,0,SC,DEU,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,78.0,0,0,Check-Out,2019-02-25,12
"Sheraton Grand Rio Hotel & Resort Rio de Janeiro, Brazil",1,101,2018,June,27,27,1,5,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,140.0,0,0,Canceled,2018-05-06,13
"Renaissance Hamburg Hotel Hamburg, Germany",0,83,2018,April,17,20,2,5,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,27.0,,0,Transient,80.75,0,0,Check-Out,2018-04-27,14
"The Ritz-Carlton, Berlin Berlin, Germany",0,63,2017,September,36,1,0,4,2,1.0,0,HB,PRT,Direct,Direct,0,0,0,A,C,0,No Deposit,,,0,Transient,142.5,0,1,Check-Out,2017-09-05,15
"Sheraton Lima Hotel & Convention Center Lima, Peru",1,122,2019,August,33,14,1,2,3,0.0,0,BB,RUS,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,195.0,0,0,Canceled,2019-04-18,16
"Courtyard Las Vegas Convention Center Las Vegas, NV ",0,142,2018,August,35,24,0,3,2,0.0,0,BB,NOR,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient,108.3,0,0,Check-Out,2018-08-27,17
"Newark Liberty International Airport Courtyard Newark, NJ",0,52,2018,September,38,13,0,2,2,0.0,0,BB,CN,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,152.1,0,1,Check-Out,2018-09-15,18
"Indianapolis Airport Courtyard Indianapolis, IN",1,112,2018,December,50,6,0,4,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,97.75,0,1,Canceled,2018-10-31,19
"Treasure Beach, Barbados Barbados",0,102,2019,April,17,24,1,3,2,0.0,0,BB,IRL,Groups,TA/TO,0,0,0,A,A,0,No Deposit,,424.0,0,Transient-Party,100.0,0,0,Check-Out,2019-04-28,20
"Cape Town Marriott Hotel Crystal Towers Cape Town, South Africa",0,36,2017,August,32,7,0,2,2,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0,Check-Out,2017-08-09,21
"The St. Regis Osaka Osaka, Japan",1,234,2019,June,23,9,2,5,3,0.0,0,HB,IRL,Direct,Direct,0,0,0,E,E,1,No Deposit,250.0,,0,Transient,171.39,0,1,Canceled,2018-11-21,22
"Chicago O'Hare Courtyard Des Plaines, IL",0,52,2019,March,11,12,2,2,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,100.3,0,1,Check-Out,2019-03-16,23
"Renaissance Hamburg Hotel Hamburg, Germany",1,247,2019,June,22,2,1,2,2,0.0,0,HB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,,0,Transient,79.66,0,0,Canceled,2018-09-29,24
"Protea Hotel by Marriott O.R. Tambo Airport Johannesburg, South Africa",0,1,2018,November,46,8,0,4,2,0.0,0,SC,AUS,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,159.38,0,2,Check-Out,2018-11-12,25
"The St. Regis Osaka Osaka, Japan",1,124,2019,April,15,9,2,5,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,492.0,,0,Transient,80.0,0,0,Canceled,2019-02-28,26
"Residence Inn Rio de Janeiro Barra da Tijuca Barra da Tijuca, Brazil",0,6,2018,January,3,13,0,1,1,0.0,0,BB,,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,184.0,,0,Transient,37.0,0,0,Check-Out,2018-01-14,27
"Berlin Marriott Hotel Berlin, Germany",0,165,2018,May,22,22,1,0,2,0.0,0,BB,CHE,Offline TA/TO,TA/TO,0,0,0,D,F,0,No Deposit,251.0,,0,Transient,59.0,0,1,Check-Out,2018-05-23,28
"The Westin Peachtree Plaza, Atlanta Atlanta, GA ",0,1,2018,July,30,19,0,3,2,2.0,0,BB,ESP,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,249.0,0,0,Check-Out,2018-07-22,29
"Hotel Alfonso XIII, a Luxury Collection Hotel, Seville Seville, Spain",1,55,2018,July,28,7,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,219.0,0,Transient-Party,79.0,0,0,Canceled,2018-07-06,30
"Treasure Beach, Barbados Barbados",0,0,2018,June,25,13,1,3,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,7.0,,0,Transient,150.92,0,1,Check-Out,2018-06-17,31
"Renaissance New York Times Square Hotel New York, NY",0,164,2018,November,45,4,2,3,2,0.0,0,BB,NLD,Direct,Direct,0,0,0,A,A,1,No Deposit,250.0,,0,Transient,43.8,1,0,Check-Out,2018-11-09,32
"Courtyard Las Vegas Convention Center Las Vegas, NV ",1,117,2018,August,33,11,1,3,2,2.0,0,BB,NOR,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,9.0,,0,Transient,186.3,0,0,Canceled,2018-04-17,33
"Frankfurt Marriott Hotel Frankfurt, Germany",0,39,2018,July,31,25,1,0,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,40.0,0,Transient,67.0,1,0,Check-Out,2018-07-26,34
"Las Vegas Marriott Las Vegas, NV ",0,8,2019,April,16,20,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,47.0,0,Transient,45.0,0,0,Check-Out,2019-04-21,35
"Baton Rouge Acadian Centre/LSU Area Courtyard Baton Rouge, LA",1,93,2019,April,14,6,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,170.0,,0,Transient,95.0,0,0,Canceled,2019-01-03,36
"Sheraton Grand Rio Hotel & Resort Rio de Janeiro, Brazil",0,39,2018,August,36,30,0,4,3,0.0,0,HB,PRT,Direct,Direct,0,0,0,A,D,1,No Deposit,,,0,Transient,161.0,0,2,Check-Out,2018-09-03,37
"Cape Town Marriott Hotel Crystal Towers Cape Town, South Africa",1,283,2017,July,31,27,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient-Party,62.0,0,0,Canceled,2017-06-29,38
"Albuquerque Airport Courtyard Albuquerque, NM",0,60,2017,September,37,12,2,2,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,11.0,,0,Transient,71.4,0,0,Check-Out,2017-09-16,39
"Residence Inn Las Vegas Convention Center Las Vegas, NV ",0,8,2018,April,17,20,0,1,1,0.0,0,BB,FRA,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,,0,Transient,95.2,0,0,Check-Out,2018-04-21,40
"Tamarind, Barbados Barbados",1,360,2019,August,34,20,2,4,3,1.0,0,HB,PRT,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240.0,,0,Transient,343.0,0,0,Canceled,2018-09-24,41
"Las Vegas Marriott Las Vegas, NV ",1,161,2019,June,25,24,2,1,3,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,147.42,0,0,Canceled,2019-02-15,42
"Courtyard by Marriott Rio de Janeiro Barra da Tijuca Barra da Tijuca, Brazil",0,2,2017,December,51,17,0,3,2,0.0,0,BB,TUR,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,54.0,1,0,Check-Out,2017-12-20,43
"W London – Leicester Square London, United Kingdom",0,1,2017,August,33,10,1,1,0,3.0,0,BB,PRT,Direct,Direct,0,0,0,B,B,1,No Deposit,,,0,Transient-Party,9.0,0,0,Check-Out,2017-08-12,44
"Sheraton Diana Majestic, Milan Milan, Italy",1,181,2019,May,21,25,0,2,2,0.0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,,,0,Transient,130.0,0,0,Canceled,2018-11-25,45
"Las Vegas Marriott Las Vegas, NV ",0,320,2019,August,32,12,1,1,2,1.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,123.3,0,3,Check-Out,2019-08-14,46
"Courtyard by Marriott Rio de Janeiro Barra da Tijuca Barra da Tijuca, Brazil",0,16,2018,December,53,29,0,2,2,0.0,0,BB,BRA,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,,0,Transient,140.0,0,0,Check-Out,2018-12-31,47
"Greensboro Courtyard Greensboro, NC",1,13,2017,December,53,29,2,5,0,2.0,0,BB,BRA,Direct,Direct,0,1,0,B,B,1,No Deposit,,,0,Transient-Party,7.8,0,1,Canceled,2017-12-23,48
"Courtyard by Marriott Rio de Janeiro Barra da Tijuca Barra da Tijuca, Brazil",0,2,2017,December,50,7,2,5,1,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,115.0,,0,Transient,34.2,0,0,Check-Out,2017-12-14,49
"Sheraton Diana Majestic, Milan Milan, Italy",0,115,2019,April,13,1,2,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,117.0,0,1,Check-Out,2019-04-04,50
"Fort Worth University Drive Courtyard Fort Worth, TX",0,93,2018,August,32,2,0,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient-Party,189.0,0,0,Check-Out,2018-08-06,51
"Protea Hotel by Marriott Midrand Midrand, South Africa",0,1,2019,January,2,10,0,3,2,0.0,0,BB,KOR,Direct,Direct,0,0,0,A,A,1,No Deposit,,,0,Transient,80.0,0,0,Check-Out,2019-01-13,52
"Sheraton Diana Majestic, Milan Milan, Italy",1,121,2019,July,29,22,3,6,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,394.0,,0,Transient,80.1,0,2,Canceled,2019-07-07,53
"Protea Hotel Fire & Ice! by Marriott Johannesburg Melrose Arch Johannesburg, South Africa",0,23,2019,June,23,10,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,154.0,1,1,Check-Out,2019-06-11,54
"Grosvenor House, A JW Marriott Hotel London, United Kingdom",1,278,2017,July,30,22,0,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,1,Non Refund,1.0,,0,Transient-Party,60.0,0,0,Canceled,2017-07-02,55
"Sacramento Airport Natomas Courtyard Sacramento, CA",0,162,2019,July,27,5,0,4,3,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,152.1,0,0,Check-Out,2019-07-09,56
"Tamarind, Barbados Barbados",0,0,2019,April,17,27,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,1,A,D,0,No Deposit,,195.0,0,Transient-Party,45.0,0,0,Check-Out,2019-04-28,57
"Anaheim Marriott Anaheim, CA",0,176,2019,August,34,24,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,243.0,,0,Contract,104.85,0,1,Check-Out,2019-08-31,58
"Residence Inn Las Vegas Convention Center Las Vegas, NV ",1,300,2017,August,33,13,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Contract,62.0,0,0,Canceled,2017-01-01,59
"Residence Inn Rio de Janeiro Barra da Tijuca Barra da Tijuca, Brazil",0,177,2018,June,26,23,4,10,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,,0,Contract,68.0,0,0,Check-Out,2018-07-07,60
"Heidelberg Marriott Hotel Heidelberg, Germany",0,405,2019,July,27,4,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,114.4,0,0,Check-Out,2019-07-06,61
"Sheraton Lima Hotel & Convention Center Lima, Peru",0,23,2017,September,37,7,3,7,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,95.98,0,0,Check-Out,2017-09-17,62
"Sheraton Grand Rio Hotel & Resort Rio de Janeiro, Brazil",1,113,2018,February,9,25,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,19.0,,44,Transient,75.0,0,0,Canceled,2017-12-18,63
"Orlando International Drive/Convention Center Courtyard Orlando, FL",1,170,2017,October,41,4,4,8,2,0.0,0,BB,CN,Groups,TA/TO,0,0,0,A,A,0,Non Refund,15.0,,0,Transient,44.5,0,0,Canceled,2017-07-17,64
"The St. Regis Osaka Osaka, Japan",1,124,2019,April,15,9,2,5,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,C,1,Non Refund,492.0,,0,Transient,80.0,0,0,Canceled,2019-02-28,65
"Louisville East Courtyard Louisville, KY",0,6,2017,September,37,10,1,3,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,116.25,0,2,Check-Out,2017-09-14,66
"Courtyard by Marriott Rio de Janeiro Barra da Tijuca Barra da Tijuca, Brazil",1,22,2018,April,18,30,2,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,100.0,0,0,Canceled,2018-04-09,67
"Newark Liberty International Airport Courtyard Newark, NJ",0,15,2018,July,28,5,0,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,151.0,0,1,Check-Out,2018-07-08,68
"Hotel Maria Cristina, San Sebastian San Sebastian, Spain",0,4,2018,January,4,20,0,2,2,0.0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,314.0,,0,Transient,35.0,1,1,Check-Out,2018-01-22,69
"Sacramento Airport Natomas Courtyard Sacramento, CA",1,150,2018,January,1,2,2,1,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,21.0,,91,Transient,101.0,0,0,Canceled,2017-11-04,70
"Baltimore BWI Airport Courtyard Linthicum, MD",0,42,2018,June,25,13,1,1,1,0.0,0,BB,NLD,Corporate,Corporate,0,0,0,A,A,1,No Deposit,,179.0,0,Transient,89.0,0,0,Check-Out,2018-06-15,71
"San Diego Sorrento Valley Courtyard San Diego, CA",0,2,2018,October,41,6,0,1,1,0.0,0,BB,PRT,Complementary,Corporate,1,2,7,A,G,0,No Deposit,,45.0,0,Transient,0.0,0,3,Check-Out,2018-10-07,72
"The Ritz-Carlton, Berlin Berlin, Germany",0,2,2018,August,33,8,1,0,2,0.0,0,BB,IRL,Direct,Direct,0,0,0,G,G,0,No Deposit,250.0,,0,Transient,335.0,0,0,Check-Out,2018-08-09,73
"Greensboro Courtyard Greensboro, NC",1,148,2017,December,53,31,1,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,98,Transient,77.5,0,0,Canceled,2017-11-11,74
"Courtyard by Marriott Toulouse Airport Toulouse, France",0,0,2019,January,4,27,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient,76.0,0,0,Check-Out,2019-01-28,75
"Indianapolis Airport Courtyard Indianapolis, IN",0,59,2017,December,52,24,0,3,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,,,0,Transient-Party,51.0,1,0,Check-Out,2017-12-27,76
"Louisville East Courtyard Louisville, KY",0,27,2019,April,16,20,3,8,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,,0,Contract,50.85,0,0,Check-Out,2019-05-01,77
"W New York – Union Square New York, NY",1,112,2019,March,11,15,0,3,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,477.0,0,Transient-Party,40.0,0,0,Canceled,2019-02-16,78
"Protea Hotel by Marriott O.R. Tambo Airport Johannesburg, South Africa",0,396,2019,June,26,25,2,0,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,122.4,0,1,Check-Out,2019-06-27,79
"The Westin Peachtree Plaza, Atlanta Atlanta, GA ",0,169,2018,July,30,21,2,5,2,0.0,0,BB,PLW,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,136.29,0,2,Check-Out,2018-07-28,80
"W London – Leicester Square London, United Kingdom",1,144,2018,September,38,12,1,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,126.9,0,3,Canceled,2018-08-24,81
"Chicago O'Hare Courtyard Des Plaines, IL",0,99,2018,June,27,29,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,114.3,0,1,Check-Out,2018-07-02,82
"Treasure Beach, Barbados Barbados",0,0,2019,April,17,26,0,2,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,2,A,B,0,No Deposit,,43.0,0,Transient,45.0,0,0,Check-Out,2019-04-28,83
"St. Louis Downtown West Courtyard St. Louis, MO",1,108,2019,May,20,19,0,1,2,0.0,0,SC,ZAF,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,126.0,0,0,Canceled,2019-05-12,84
"Spokane Downtown at the Convention Center Courtyard Spokane, WA",0,181,2019,March,9,1,6,19,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,440.0,,0,Transient-Party,55.8,0,1,Check-Out,2019-03-26,85
"Des Moines West/Clive Courtyard Clive, IA",0,4,2018,January,3,15,0,2,2,1.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,196.0,,0,Transient,30.0,0,1,Check-Out,2018-01-17,86
"Hotel Maria Cristina, San Sebastian San Sebastian, Spain",0,8,2019,June,26,28,0,1,1,0.0,0,SC,POL,Online TA,GDS,0,0,0,A,A,0,No Deposit,195.0,,0,Transient,159.0,0,0,Check-Out,2019-06-29,87
"The Westin Peachtree Plaza, Atlanta Atlanta, GA ",0,35,2018,February,8,17,0,4,2,0.0,0,BB,CHE,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,36.0,,0,Transient,43.76,0,0,Check-Out,2018-02-21,88
"Mt. Laurel Courtyard Mt. Laurel, NJ",0,134,2019,February,8,25,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,30.0,,0,Transient-Party,84.0,1,1,Check-Out,2019-02-26,89
"Leipzig Marriott Hotel Leipzig, Germany",0,5,2018,January,3,16,0,1,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,78.0,1,2,Check-Out,2018-01-17,90
"Courtyard by Marriott Toulouse Airport Toulouse, France",0,0,2018,February,8,18,0,1,2,0.0,0,SC,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,79.0,0,0,Check-Out,2018-02-19,91
"Grosvenor House, A JW Marriott Hotel London, United Kingdom",0,5,2018,March,12,19,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,93.33,0,0,Check-Out,2018-03-22,92
"St. Louis Downtown West Courtyard St. Louis, MO",0,247,2019,June,25,22,1,3,2,0.0,0,HB,HUN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient-Party,108.9,0,0,Check-Out,2019-06-26,93
"Leipzig Marriott Hotel Leipzig, Germany",0,47,2019,March,10,10,0,2,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,79.2,0,0,Check-Out,2019-03-12,94
"Turtle Beach, Barbados Barbados",1,69,2018,November,45,4,0,1,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,79.2,0,2,Canceled,2018-10-09,95
"Hotel Maria Cristina, San Sebastian San Sebastian, Spain",0,235,2018,June,26,24,0,2,2,0.0,0,BB,FRA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,61,Transient-Party,65.0,0,1,Check-Out,2018-06-26,96
"The Westin Peachtree Plaza, Atlanta Atlanta, GA ",0,112,2019,August,34,25,0,2,2,2.0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,235.0,0,0,Check-Out,2019-08-27,97
"Residence Inn Las Vegas Convention Center Las Vegas, NV ",0,93,2019,May,20,18,0,3,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,C,C,1,No Deposit,240.0,,0,Transient,123.0,0,2,Check-Out,2019-05-21,98
"Baltimore BWI Airport Courtyard Linthicum, MD",0,126,2019,April,16,17,1,1,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,314.0,,0,Transient-Party,54.0,0,1,Check-Out,2019-04-19,99
"Protea Hotel by Marriott Cape Town Sea Point Cape Town, South Africa",1,240,2019,March,9,1,4,10,1,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,314.0,,0,Transient,26.64,0,0,Canceled,2018-07-22,100
"Residence Inn Rio de Janeiro Barra da Tijuca Barra da Tijuca, Brazil",1,40,2019,February,6,5,4,7,2,0.0,0,BB,MOZ,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,68.0,0,1,Canceled,2019-01-17,101
"W Barcelona Barcelona, Spain",0,132,2018,July,29,13,2,4,2,0.0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,83.0,,0,Transient,79.56,0,0,Check-Out,2018-07-19,102
"Irvine John Wayne Airport/Orange County Courtyard Irvine, CA",1,162,2019,April,13,1,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,296.0,,0,Transient-Party,98.0,0,0,Canceled,2018-12-10,103
"W London – Leicester Square London, United Kingdom",0,6,2019,February,8,24,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,E,0,No Deposit,,,0,Transient,61.2,0,1,Check-Out,2019-02-25,104
"Des Moines West/Clive Courtyard Clive, IA",0,7,2019,May,20,15,1,1,1,0.0,0,BB,USA,Groups,Corporate,0,0,0,A,A,1,No Deposit,,169.0,0,Transient-Party,110.0,0,0,Check-Out,2019-05-17,105
"Berlin Marriott Hotel Berlin, Germany",0,49,2018,March,12,15,0,2,2,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,81.9,0,1,Check-Out,2018-03-17,106
"African Pride Melrose Arch, Autograph Collection Johannesburg, South Africa",0,79,2018,December,51,11,2,2,2,0.0,0,HB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,6.0,,0,Transient,52.4,0,0,Check-Out,2018-12-15,107
"Orlando Airport Courtyard Orlando, FL",1,166,2017,July,29,15,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,1,0,A,A,0,No Deposit,9.0,,0,Transient-Party,76.5,0,1,Canceled,2017-02-17,108
"Sheraton Lima Hotel & Convention Center Lima, Peru",0,18,2018,October,42,11,0,1,2,0.0,0,BB,GBR,Direct,Corporate,0,0,0,A,A,0,No Deposit,,,0,Transient,66.0,0,1,Check-Out,2018-10-12,109
"W London – Leicester Square London, United Kingdom",1,335,2018,October,42,13,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,56.0,,0,Transient-Party,90.0,0,1,Canceled,2018-10-13,110
"Sheraton Grand Rio Hotel & Resort Rio de Janeiro, Brazil",1,6,2018,June,26,23,0,1,1,0.0,0,BB,HKG,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,95.0,0,0,Canceled,2018-06-17,111
